platform,device,suite,source,document_type,language,method,backend,status,initialization_seconds,warm_median_seconds,warm_range_seconds,warm_operation_counts,peak_process_rss_mib,pytorch_allocator_peak_mib,pytorch_allocator_peak_status,cer,cer_ns,cer_bag
ubuntu-gtx1060,cpu,language,pdf/ja-clean.pdf,scanned-pdf,japanese,ocr,rapidocr,success,,13.784797324,0.7693542319999995,1;1;1,4951.40234375,,not-applicable-for-cpu,0.0625,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/ko-clean.pdf,scanned-pdf,korean,docling+ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/ko-clean.pdf,scanned-pdf,korean,ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/ru-clean.pdf,scanned-pdf,cyrillic,docling+ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/ru-clean.pdf,scanned-pdf,cyrillic,ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/th-clean.pdf,scanned-pdf,thai,docling+ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/th-clean.pdf,scanned-pdf,thai,ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/vi-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,1.98760031,23.676169027,1;1;1;1;1;1;1,4867.9453125,,not-applicable-for-cpu,0.22647058823529412,0.26865671641791045,0.26119402985074625
ubuntu-gtx1060,cpu,language,pdf/vi-clean.pdf,scanned-pdf,latin,ocr,rapidocr,success,,2.954425079,0.03154624700000008,1;1;1,4187.2109375,,not-applicable-for-cpu,0.15,0.19029850746268656,0.19029850746268656
ubuntu-gtx1060,cpu,language,pdf/zh-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,3.16863192,1.853380516,0.06863929200000007,1;1;1,6750.453125,,not-applicable-for-cpu,0.05755395683453238,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/zh-clean.pdf,scanned-pdf,chinese,ocr,rapidocr,success,,11.176651474,0.38143098900000005,1;1;1,5710.4140625,,not-applicable-for-cpu,0.04316546762589928,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/zt-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,,2.034045944,0.24062076899999973,1;1;1;1;1;1;1,7986.55859375,,not-applicable-for-cpu,0.07194244604316546,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/zt-clean.pdf,scanned-pdf,chinese,ocr,rapidocr,success,,10.967254755,0.15006475900000105,1;1;1,6976.36328125,,not-applicable-for-cpu,0.02877697841726619,0.0,0.0
ubuntu-gtx1060,cuda,format,image-bmp.bmp,image,latin,docling+ocr,docling+ocr,success,28.922560779,1.184278318,0.09957583300000006,1;1;1,2070.21875,575.16845703125,available,,,
ubuntu-gtx1060,cuda,format,image-jpeg.jpeg,image,latin,docling+ocr,docling+ocr,success,,1.551696361,0.5235579529999999,1;1;1;1;1;1;1,2212.515625,503.19091796875,available,,,
ubuntu-gtx1060,cuda,format,image-jpg.jpg,image,latin,docling+ocr,docling+ocr,success,,1.117055116,0.054283593000000074,1;1;1,2180.31640625,503.19091796875,available,,,
ubuntu-gtx1060,cuda,format,image-png.png,image,latin,docling+ocr,docling+ocr,success,,1.144014225,0.03158837799999992,1;1;1,2214.3046875,503.19091796875,available,,,
ubuntu-gtx1060,cuda,format,image-tif.tif,image,latin,docling+ocr,docling+ocr,success,,1.166398597,0.08726842199999996,1;1;1,2215.2734375,503.19091796875,available,,,
ubuntu-gtx1060,cuda,format,image-tiff.tiff,image,latin,docling+ocr,docling+ocr,success,,1.143036265,0.035942179999999935,1;1;1,2172.8046875,503.19091796875,available,,,
